Political-affiliation,Gender,Age,Trump-approval,Education,Race,Marital-status,Jobs-robots,Climate-change,Scientists-honest,Vaccines-children,Books,Funding-science
Democrat,Female,64,StronglyDisapprove,College,White,Divorced,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatDisagree,20,Low
Democrat,Female,56,StronglyDisapprove,Highschool,Black,Single,Unlikely,unknown,SomewhatAgree,SomewhatDisagree,6,High
Independent,Male,63,SomewhatApprove,SomeCollege,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,0,AboutRight
Republican,Male,48,StronglyApprove,Highschool,White,Divorced,Unlikely,NotReal,SomewhatDisagree,SomewhatDisagree,1,AboutRight
Democrat,Female,32,SomewhatApprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,30,Low
Democrat,Female,64,StronglyDisapprove,SomeCollege,White,Married,unknown,RealCausedbyPeople,StronglyAgree,StronglyAgree,15,Low
Independent,Male,61,SomewhatApprove,College,White,Divorced,Unlikely,RealNotCausedbyPeople,StronglyAgree,StronglyAgree,0,AboutRight
Republican,Female,64,SomewhatDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,40,unknown
Republican,Female,64,SomewhatApprove,Highschool,White,Married,Likely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,0,AboutRight
Democrat,Female,68,SomewhatDisapprove,SomeCollege,White,Widowed,unknown,RealCausedbyPeople,SomewhatAgree,StronglyAgree,1,Low
Democrat,Female,63,StronglyDisapprove,College,White,Widowed,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,0,Low
Independent,Female,44,NeitherApproveDisapprove,Highschool,White,Married,Unlikely,RealCausedbyPeople,StronglyDisagree,SomewhatAgree,2,High
Democrat,Female,57,SomewhatApprove,College,White,Married,unknown,RealCausedbyPeople,StronglyDisagree,SomewhatAgree,12,High
Democrat,Female,62,StronglyDisapprove,College,White,Single,Likely,unknown,StronglyAgree,StronglyAgree,6,Low
Republican,Male,62,SomewhatDisapprove,College,White,Divorced,Likely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,6,Low
Independent,Male,46,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,24,Low
unknown,Female,60,StronglyDisapprove,SomeCollege,White,Divorced,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,0,Low
Democrat,Female,62,NeitherApproveDisapprove,Highschool,Other,Married,Likely,RealNotCausedbyPeople,StronglyDisagree,StronglyAgree,40,High
Republican,Female,40,SomewhatApprove,College,White,Married,Unlikely,NotReal,SomewhatDisagree,StronglyAgree,15,High
Independent,Female,48,StronglyDisapprove,College,Latino,Married,Unlikely,RealCausedbyPeople,StronglyAgree,unknown,5,Low
Democrat,Female,54,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,4,Low
Republican,Male,62,StronglyApprove,College,White,Married,Unlikely,NotReal,SomewhatAgree,SomewhatAgree,0,AboutRight
Democrat,Female,50,NeitherApproveDisapprove,Highschool,White,Married,Likely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,6,Low
Democrat,Female,59,SomewhatApprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatDisagree,25,unknown
Independent,Female,30,StronglyApprove,College,White,Married,Unlikely,NotReal,StronglyAgree,StronglyAgree,5,unknown
Democrat,Female,60,SomewhatDisapprove,SomeCollege,Black,Single,Likely,RealCausedbyPeople,unknown,SomewhatAgree,2,unknown
Democrat,Male,70,StronglyDisapprove,College,Black,Single,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,6,AboutRight
Independent,Male,19,SomewhatApprove,Highschool,White,Relationship,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,3,Low
Independent,Male,61,SomewhatApprove,College,Black,Separated,Likely,RealNotCausedbyPeople,SomewhatAgree,SomewhatAgree,0,AboutRight
Democrat,Female,57,SomewhatDisapprove,Highschool,White,Married,Likely,NotReal,SomewhatAgree,StronglyAgree,0,AboutRight
unknown,Male,36,NeitherApproveDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,12,AboutRight
Democrat,Female,63,SomewhatDisapprove,Highschool,White,Widowed,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,5,Low
Republican,Female,63,unknown,College,White,Married,Unlikely,NotReal,SomewhatAgree,StronglyAgree,30,unknown
Independent,Female,55,StronglyDisapprove,Highschool,White,Separated,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,1,AboutRight
Republican,Female,56,SomewhatApprove,College,White,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,1,Low
unknown,Male,54,SomewhatApprove,unknown,White,unknown,unknown,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,0,unknown
Independent,Female,50,StronglyDisapprove,College,Other,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,30,High
