Political-affiliation	Income	Gender	Age	Trump-approval	Education	Race	Marital-status	Jobs-robots	Climate-change	Scientists-honest	Vaccines-children	Books	Funding-science	ghosts?
Democrat	8000	Female	64	StronglyDisapprove	College	White	Divorced	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatDisagree	20	Low	Yes
Democrat	68000	Female	56	StronglyDisapprove	Highschool	Black	Single	Unlikely	unknown	SomewhatAgree	SomewhatDisagree	6	High	No
Independent	46000	Male	63	SomewhatApprove	SomeCollege	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	0	AboutRight	No
Republican	51000	Male	48	StronglyApprove	Highschool	White	Divorced	Unlikely	NotReal	SomewhatDisagree	SomewhatDisagree	1	AboutRight	No
Democrat	100000	Female	32	SomewhatApprove	SomeCollege	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	30	Low	Yes
Democrat	54000	Female	64	StronglyDisapprove	SomeCollege	White	Married	unknown	RealCausedbyPeople	StronglyAgree	StronglyAgree	15	Low	No
Independent	83000	Male	61	SomewhatApprove	College	White	Divorced	Unlikely	RealNotCausedbyPeople	StronglyAgree	StronglyAgree	0	AboutRight	Yes
Republican	114000	Female	64	SomewhatDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	40	unknown	No
Republican	90000	Female	64	SomewhatApprove	Highschool	White	Married	Likely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	0	AboutRight	No
Democrat	5000	Female	68	SomewhatDisapprove	SomeCollege	White	Widowed	unknown	RealCausedbyPeople	SomewhatAgree	StronglyAgree	1	Low	No
Democrat	57000	Female	63	StronglyDisapprove	College	White	Widowed	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	0	Low	No
Independent	47000	Female	44	NeitherApproveDisapprove	Highschool	White	Married	Unlikely	RealCausedbyPeople	StronglyDisagree	SomewhatAgree	2	High	Yes
Democrat	39000	Female	57	SomewhatApprove	College	White	Married	unknown	RealCausedbyPeople	StronglyDisagree	SomewhatAgree	12	High	Yes
Democrat	5000	Female	62	StronglyDisapprove	College	White	Single	Likely	unknown	StronglyAgree	StronglyAgree	6	Low	No
Republican	84000	Male	62	SomewhatDisapprove	College	White	Divorced	Likely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	6	Low	No
Independent	104000	Male	46	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	24	Low	No
unknown	8000	Female	60	StronglyDisapprove	SomeCollege	White	Divorced	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	0	Low	Yes
Democrat	23000	Female	62	NeitherApproveDisapprove	Highschool	Other	Married	Likely	RealNotCausedbyPeople	StronglyDisagree	StronglyAgree	40	High	No
Republican	55000	Female	40	SomewhatApprove	College	White	Married	Unlikely	NotReal	SomewhatDisagree	StronglyAgree	15	High	No
Independent	80000	Female	48	StronglyDisapprove	College	Latino	Married	Unlikely	RealCausedbyPeople	StronglyAgree	unknown	5	Low	Yes
Democrat	194000	Female	54	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	4	Low	Yes
Republican	82000	Male	62	StronglyApprove	College	White	Married	Unlikely	NotReal	SomewhatAgree	SomewhatAgree	0	AboutRight	No
Democrat	22000	Female	50	NeitherApproveDisapprove	Highschool	White	Married	Likely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	6	Low	Yes
Democrat	54000	Female	59	SomewhatApprove	SomeCollege	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatDisagree	25	unknown	Yes
Independent	79000	Female	30	StronglyApprove	College	White	Married	Unlikely	NotReal	StronglyAgree	StronglyAgree	5	unknown	Yes
Democrat	5000	Female	60	SomewhatDisapprove	SomeCollege	Black	Single	Likely	RealCausedbyPeople	unknown	SomewhatAgree	2	unknown	No
Democrat	60000	Male	70	StronglyDisapprove	College	Black	Single	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	6	AboutRight	No
Independent	39000	Male	19	SomewhatApprove	Highschool	White	Relationship	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	3	Low	Yes
Independent	58000	Male	61	SomewhatApprove	College	Black	Separated	Likely	RealNotCausedbyPeople	SomewhatAgree	SomewhatAgree	0	AboutRight	Yes
